Código,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
127,48344,4492150,6482.2,339998,23700,,100,0.73,728,0.938,4.4,2.25,100,22,27.76,01°28'N,40,0,44.5718,0,1,0,0,4491422,-339270,0
128,7991,5439448,111.4,104574,13300,25.2,82,12.42,49037,0.86,6.7,4.89,53.8,40.1,32.83,49°36'N,39.2,701,50.8625,0,0,0,201373.2,5390411,-55537,0
129,11878,2010347,99.2,53589,19000,24.8,72,21.01,20273,0.917,8.2,1.68,55.4,61.5,18.93,46°52'N,43,1088,46.6154,0,0,0,294574.4,1990074,-33316,0
130,,8863338,13.9,4917,500,,,94.88,637657,-,13.62,89.52,46.7,9.5,50.55,11°59'N,16.5,340,65.3172,2,0,0,0,8225681,632740,0
131,1624,44187637,36.2,301923,10700,63,32,10.34,1221037,0.709,8.1,27.81,67.8,14.1,47.25,22°20'S,26.1,1193,43.0755,6,1,0,102312,42966600,919114,63
132,11786,40397842,80,1281484,22000,36.2,96,17.39,505992,0.904,8.9,3.21,81.1,37.2,32.85,43°47'N,43.2,1152,36.6574,2,2,0,426653.2,39891850,-775492,72.4
133,2277,20222240,308.2,80706,3700,39.3,,51.4,65610,0.782,3.8,7.84,18.9,34.2,50.15,09°30'N,32.3,264,46.7506,0,0,0,89486.1,20156630,-15096,0
134,1277,41236378,16.5,26110,1900,34.2,,61.41,1861484,0.51,6.3,69.93,35.6,11.3,57.36,22°12'N,18.9,133,30.2666,1,1,0,43673.4,39374894,1835374,34.2
135,17625,9016596,20,541063,26800,29.6,95,52.48,450295,0.945,11,2.6,88.2,68.7,15.32,69°04'N,40.9,1683,37.5115,1,0,0,521700,8566301,-90768,0
136,21490,7523934,182.2,752248,32700,33,100,24.2,41284,0.955,12.3,3.51,74,32.1,16.47,47°48'N,42.2,2149,44.1753,1,0,0,709170,7482650,-710964,0
137,1996,18881361,102,40405,3300,,,0.94,185180,0.567,3.6,16.45,56.1,2.8,61.13,37°19'N,20.2,217,88.8849,3,0,0,0,18696181,144775,0
138,1994,7320815,51.2,8.194,1000,34,,39.47,143100,0.668,7.2,28.82,27.7,3.1,50.25,41°02'N,22.4,203,39.546,0,0,0,67796,7177715,143091.806,0
139,4356,64631595,125.7,501794,7400,36.9,26,23.72,513120,0.777,3.7,8.58,52.2,38.9,62.84,20°27'N,37.8,473,45.8523,4,1,1,160736.4,64118475,11326,36.9
140,683,5548702,97.7,7574,1500,43.1,9,75.08,56785,0.515,6.2,38.46,43.4,22.2,50.83,11°08'N,18.9,80,44.928,1,0,0,29437.3,5491917,49211,0
141,2868,1065842,207.9,21529,9500,,,0.45,5130,0.796,7,20.07,53.3,44.5,55.55,11°21'N,33.9,309,39.962,0,0,0,0,1060712,-16399,0
142,3366,10175014,62.2,39235,6900,32.8,81,11.89,163610,0.74,7.2,10.95,69.9,4.5,59.34,37°31'N,31.1,340,41.7612,1,0,0,110404.8,10011404,124375,0
143,5251,70413958,90.2,720101,6700,41.9,78,11.87,783562,0.82,4.2,15.77,76.6,28.9,54.51,42°06'N,29.9,606,41.7612,10,2,1,220016.9,69630396,63461,83.8
144,706,5042920,10.3,45231,5800,,,0.06,488100,0.715,6.9,30.84,53,8.8,29.03,42°50'N,25.6,80,45.8523,0,0,0,0,4554820,442869,0
145,804,28195754,119.5,37372,1400,42.8,,90.33,241550,0.544,6.3,32.56,25.6,11.7,70.59,04°14'N,15.8,97,48.6486,1,0,0,34411.2,27954204,204178,0
146,4434,46710816,77.4,155582,5400,25,72,6.91,603500,0.779,7,7.38,69.8,16.7,52.77,52°22'N,40.3,418,39.13,3,0,0,110850,46107316,447918,0
147,24292,2602713,31.4,421142,23200,32.5,99,0.26,83600,0.89,3.3,5.3,87.3,4.5,41.51,26°05'N,33.4,2251,43.6943,3,0,0,789490,2519113,-337542,0
148,14793,60609153,247.6,2707743,27700,34.8,98,11.05,242495,0.932,9.6,4.13,84.2,13.2,33.39,58°40'N,40.2,1511,40.2545,5,1,0,514796.4,60366658,-2465248,34.8
149,7533,3431932,19.5,53628,12800,39.7,,60.73,176215,0.817,9.3,7.75,95.6,11.6,37.83,30°05'S,34.9,824,38.3643,1,0,0,299060.1,3255717,122587,0
150,19306,298000000,31,21000000,37800,41.1,98,10.11,9833520,0.926,17.1,5.28,82.9,33.9,33.3,49°23'N,37.6,2111,60.1835,11,1,0,793476.6,288166480,-11166480,41.1
